key;category;term;genus;ref
etw. verschlechtern;expression;etw. verschlechtern;;
etw. verwechseln;expression;etw. verwechseln;;
fahren;nom;fahren;;
feilschen;nom;feilschen;;
fern, entfernt;expression;fern, entfernt;;
festnehmen / stellen;expression;festnehmen / stellen;;
fieberhaft;nom;fieberhaft;;
flüssig (Verkehr);expression;flüssig (Verkehr);;
flüstern;nom;flüstern;;
frech, respektlos;expression;frech, respektlos;;
früher;nom;früher;;
frühgeboren sein;expression;frühgeboren sein;;
gefrieren;nom;gefrieren;;
gegenseitige Hilfe;expression;gegenseitige Hilfe;f;
gehemmt;nom;gehemmt;;
gehört haben, dass;expression;gehört haben, dass;;
genervt sein;expression;genervt sein;;
gerade (Zahl);expression;gerade (Zahl);;
gesellschaftlich zurückgezogen;expression;gesellschaftlich zurückgezogen;;
gleich;nom;gleich;;
griechisch;nom;griechisch;;
gut gelaunt / fröhlich;expression;gut gelaunt / fröhlich;;
günstiger;nom;günstiger;;
handwerklich;nom;handwerklich;;
heftige Diskussion;expression;heftige Diskussion;;
heilen;nom;heilen;;
heimsuchen;nom;heimsuchen;;
hemmungslos;nom;hemmungslos;;
herumhängen;nom;herumhängen;;
herumschleichen;nom;herumschleichen;;
herzlich;nom;herzlich;;
hitzig;nom;hitzig;;
hupen;nom;hupen;;
ich bin dorthin gegangen;expression;ich bin dorthin gegangen;;
ihm gegenüber;expression;ihm gegenüber;;
ihr wart / Sie waren;expression;ihr wart / Sie waren;;
im Lauf der Jahre;expression;im Lauf der Jahre;;
im Oktober;expression;im Oktober;;
im Zentrum;expression;im Zentrum;;
im Überfluss;expression;im Überfluss;;
in Bayern;expression;in Bayern;;
in Griechenland;expression;in Griechenland;;
in Kraft;expression;in Kraft;;
in Kroatien;expression;in Kroatien;;
in gutem Zustand sein;expression;in gutem Zustand sein;;
jedoch;nom;jedoch;;
jmdm. begegnen;expression;jmdm. begegnen;;
jmdm. einen guten Ruf einbringen;expression;jmdm. einen guten Ruf einbringen;;
jmdm. etw. bringen;expression;jmdm. etw. bringen;;
jmdm. nachtrauern;expression;jmdm. nachtrauern;;
jmdn. anschreien;expression;jmdn. anschreien;;
jmdn. entlohnen;expression;jmdn. entlohnen;;
jmdn. verwöhnen;expression;jmdn. verwöhnen;;
kaum;nom;kaum;;
kein / viel von;expression;kein / viel von;;
kein Blatt vor den Mund nehmen;expression;kein Blatt vor den Mund nehmen;;
keltisch;nom;keltisch;;
kramen;nom;kramen;;
krank spielen;expression;krank spielen;;
landen;nom;landen;;
langsamer werden;expression;langsamer werden;;
learning by doing;expression;learning by doing;;
leicht;nom;leicht;;
leidenschaftlich;nom;leidenschaftlich;;
leitende Angestellte;expression;leitende Angestellte;m;
liefern;nom;liefern;;
mal so, mal so;expression;mal so, mal so;;
mehr von;expression;mehr von;;
mit dem Flugzeug fliegen;expression;mit dem Flugzeug fliegen;;
mitbringen;nom;mitbringen;;
nach Paris hineinfahren;expression;nach Paris hineinfahren;;
nachdrückliche Meinung;expression;nachdrückliche Meinung;f;
nachsichtig;nom;nachsichtig;;
neblig;nom;neblig;;
noch bevor + verb;expression;noch bevor + verb;;
offen / ehrlich;expression;offen / ehrlich;;
ohne Skipass;expression;ohne Skipass;;
parken;nom;parken;;
petzen;nom;petzen;;
pflegen;nom;pflegen;;
plötzlich;nom;plötzlich;;
polieren;nom;polieren;;
rebellisch;nom;rebellisch;;
renoviert werden;expression;renoviert werden;;
roh, naturbelassen, trocken;expression;roh, naturbelassen, trocken;;
rosten;nom;rosten;;
scherzen;nom;scherzen;;
schimpfen;nom;schimpfen;;
schlecht drauf sein;expression;schlecht drauf sein;;
schlendern;nom;schlendern;;
schmelzen;nom;schmelzen;;
schwer;nom;schwer;;
schwer darauf verzichten können;expression;schwer darauf verzichten können;;
schwer, hart;expression;schwer, hart;;
sein Blick hellt sich auf;expression;sein Blick hellt sich auf;;
sich durchschlängeln;expression;sich durchschlängeln;;
sich einen Platz erkämpfen;expression;sich einen Platz erkämpfen;;
sich empören;expression;sich empören;;
sich entspannen;expression;sich entspannen;;
sich gut mit jmdm. verstehen;expression;sich gut mit jmdm. verstehen;;
sich im Erwachsenenalter annähern;expression;sich im Erwachsenenalter annähern;;
sich niederlassen;expression;sich niederlassen;;
sich schlecht mit jmdm. verstehen;expression;sich schlecht mit jmdm. verstehen;;
sich streiten;expression;sich streiten;;
sich unterhalten;expression;sich unterhalten;;
sich verbreiten;expression;sich verbreiten;;
sich verschlechtern;expression;sich verschlechtern;;
sich wieder fangen;expression;sich wieder fangen;;
sich zu etw. anmelden;expression;sich zu etw. anmelden;;
skandinavisch;nom;skandinavisch;;
sobald;nom;sobald;;
speichern;nom;speichern;;
starten;nom;starten;;
stattfinden / verlaufen;expression;stattfinden / verlaufen;;
strahlend;nom;strahlend;;
ständig über etw. nachdenken;expression;ständig über etw. nachdenken;;
trocken;nom;trocken;;
trotzdem / dennoch;expression;trotzdem / dennoch;;
ungerade (Zahl);expression;ungerade (Zahl);;
ungewöhnlich;nom;ungewöhnlich;;
unsicher (emotional);expression;unsicher (emotional);;
unsicher (körperlich);expression;unsicher (körperlich);;
unterhalten;nom;unterhalten;;
unterstützen;nom;unterstützen;;
unwillkürlich;nom;unwillkürlich;;
verbergen / tarnen;expression;verbergen / tarnen;;
verbreitern;nom;verbreitern;;
verdrängen;nom;verdrängen;;
vergrößern;nom;vergrößern;;
vernachlässigbar;nom;vernachlässigbar;;
versammeln;nom;versammeln;;
verschönern;nom;verschönern;;
verstreuen / verbreiten;expression;verstreuen / verbreiten;;
vertrauliche Geständnis;expression;vertrauliche Geständnis;n;
verwendbar;nom;verwendbar;;
verärgert;nom;verärgert;;
voll von etw.;expression;voll von etw.;;
von früher;expression;von früher;;
wachsen;nom;wachsen;;
wandern;nom;wandern;;
warm;nom;warm;;
weinbau-;nom;weinbau-;;
wenigstens;nom;wenigstens;;
wenn / damit;expression;wenn / damit;;
willkommen sein;expression;willkommen sein;;
wirtschaftliche Bilanz;expression;wirtschaftliche Bilanz;f;
woanders;nom;woanders;;
wohnen;nom;wohnen;;
während;nom;während;;
zugeparkt / blockiert;expression;zugeparkt / blockiert;;
zur Fußgängerzone gemacht;expression;zur Fußgängerzone gemacht;;
zur Kur fahren;expression;zur Kur fahren;;
zweieiige Zwillinge;expression;zweieiige Zwillinge;mpl;
zögern, etw. zu tun;expression;zögern, etw. zu tun;;
Ältester;nom;Ältester;m;
Überschwemmung;nom;Überschwemmung;f;
ästhetisch;nom;ästhetisch;;
über das Jahr verteilen;expression;über das Jahr verteilen;;
über die Ringstraße fahren;expression;über die Ringstraße fahren;;
über die Ufer treten;expression;über die Ufer treten;;
über eine Vermittlung;expression;über eine Vermittlung;;
überfahren;nom;überfahren;;
überfordert sein;expression;überfordert sein;;
überfüllt;nom;überfüllt;;
übergangsweise;nom;übergangsweise;;
überholen;nom;überholen;;
