key;category;term;genus;needs_vowel_article;ref
travail;nom;travail;m;false;
travaux dans la rue;expression;travaux dans la rue;;;
traîner;nom;traîner;;;
tronçon d'autoroute;expression;tronçon d'autoroute;m;false;
trottinette;nom;trottinette;f;false;
trousseau;nom;trousseau;m;false;
trouvaille;nom;trouvaille;f;false;
téléphérique;nom;téléphérique;m;false;
une passion m'a gagnée;expression;une passion m'a gagnée;;;
utilisable;nom;utilisable;;;
vaisselle;nom;vaisselle;f;false;
valoir qc. à qn;verbe;valoir qc. à qn;;;
valoriser;nom;valoriser;;;
vente aux enchères;expression;vente aux enchères;f;false;
verdure;nom;verdure;f;false;
vide-greniers;nom;vide-greniers;f;false;
viking;nom;viking;m;false;
ville;nom;ville;f;false;
vite;nom;vite;;;
viticole;nom;viticole;;;
voie;nom;voie;f;false;
vol;nom;vol;m;false;
vous étiez;expression;vous étiez;;;
vrais jumeaux;expression;vrais jumeaux;mpl;false;
végétaliser;nom;végétaliser;;;
véhicules en face;expression;véhicules en face;m/pl;false;
Ça nous arrange bien.;expression;Ça nous arrange bien.;;;
Ça y fait quand il y a moins de voitures.;expression;Ça y fait quand il y a moins de voitures.;;;
à son égard;expression;à son égard;;;
âme;nom;âme;f;true;
ébrécher;nom;ébrécher;;;
écouteurs;nom;écouteurs;mpl;false;
éducation;nom;éducation;f;true;
éduquer;nom;éduquer;;;
égal / égaux;expression;égal / égaux;;;
élargir qc.;verbe;élargir qc.;;;
émulation;nom;émulation;f;true;
éolienne;nom;éolienne;f;true;
épaisseur;nom;épaisseur;f;true;
épanchement;nom;épanchement;m;true;
épicéa;nom;épicéa;m;true;
épopée;nom;épopée;f;true;
équilibrer;nom;équilibrer;;;
érable;nom;érable;m;true;
étaler qc. sur l'année;verbe;étaler qc. sur l'année;;;
évoquer;nom;évoquer;;;
être dans le déni;expression;être dans le déni;;;
être en bon état;expression;être en bon état;;;
être en rénovation;expression;être en rénovation;;;
être le/la bienvenue;expression;être le/la bienvenue;;;
être muni de qc;verbe;être muni de qc;;;
être prématuré;expression;être prématuré;;;
