category;term;genus;ref
nom;Wohnsitznachweis;m;
verbe;genervt sein;;
expression;jmdn. anschreien;;
adjectif;gut gelaunt / fröhlich;;
nom;Spur / Fahrbahn;f;
phrase;Die Markierung der Fahrbahnen fällt auf;;
adverbe;während;;
nom;Bürgermeister;m;
nom;Hinweis;m;
verbe;die Treppe hinunterfallen;;
expression;durch Paris fahren;;
expression;auf der Straße;;
expression;auf dem Gras;;
verbe;verdrängen;;
verbe;verschönern;;
verbe;begrünen;;
adjectif;zur Fußgängerzone gemacht;;
phrase;das Gelände ist abschüssig;;
verbe;etw. entfernen / wegnehmen;;
verbe;sich empören;;
nom;Entfernung;f;
adjectif;unsicher (körperlich);;
adjectif;unsicher (emotional);;
nom;Französischkurs;m;
nom;Hauptstraße;f;
nom;Wunde;f;
nom;Camping;n;
nom;Gemüse;n;
nom;See;m;
verbe;etw. vergessen;;
adverbe;voll von etw.;;
expression;am Ufer von etw.;;
nom;Region;f;
