id;lang;term_text;category;genus;needs_vowel_article;unit_id;ref;tags;has_audio
276;de;während {etw.};expression;;;;;;true
277;de;Gespräch;noun;n;;;;;true
278;de;{etw.} unterbrechen;verb;;;;;;true
279;de;Mauer;noun;f;;;;;true
280;fr;mur;noun;m;;;;;true
281;fr;{s'}effondrer;verb;;;;;;true
282;de;einstürzen;verb;;;;;;true
283;fr;militer {pour qc.};verb;;;;;;true
284;fr;protection de l’environnement;noun;f;;;;;true
285;de;sich für {etw.} engagieren;verb;;;;;;true
286;de;Umweltschutz;noun;m;;;;;true
287;fr;flang;noun;m;;;;;true
288;fr;lance-pierre;noun;m;;;;;true
289;de;Flitsche;noun;f;;;;;true
290;de;Steinschleuder;noun;f;;;;;true
291;fr;reculer {qc.};verb;;;;;;true
292;de;{etw.} zurückfahren;verb;;;;;;true
293;fr;brouillard;noun;m;;;;;true
294;de;Nebel;noun;m;;;;;true
295;fr;embué;adjective;;;;;;true
296;de;beschlagen;adjective;;;;;;true
297;fr;avec le recul;expression;;;;;;true
298;de;im Nachhinein;expression;;;;;;true
299;fr;faire faillite;verb;;;;;;true
300;de;pleite gehen;verb;;;;;;true
301;de;{etw.} verbreitern;verb;;;;;;true
302;fr;élargir {qc.};verb;;;;;;true
303;fr;fenêtre;noun;f;;;;;true
304;de;Fenster;noun;n;;;;;true
305;fr;commencer {à faire qc.};verb;;;;;;true
306;de;anfangen {etw. zu tun};verb;;;;;;true
307;fr;petits-enfants;noun;mpl;;;;;true
308;de;Enkelkinder;noun;npl;;;;;true
309;fr;{se} garer;verb;;;;;;true
310;de;einparken;verb;;;;;;true
311;fr;ardoise;noun;f;true;;;;true
312;fr;crayon d'ardoise;noun;m;;;;;true
313;de;Schiefertafel;noun;f;;;;;true
314;de;Griffel;noun;m;;;;;true
315;fr;d’occasion;adjective;;;;;;true
316;de;gebraucht;adjective;;;;;;true
317;fr;protège-cahier;noun;m;;;;;true
318;de;Heftumschlag;noun;m;;;;;true
319;fr;économiser {de l’argent};verb;;;;;;true
320;de;{Geld} sparen;verb;;;;;;true
323;fr;devoir sur table;noun;m;;;;;true
324;de;Klassenarbeit;noun;f;;;;;true
325;fr;interrogation écrite;noun;f;true;;;;true
326;de;{schriftliche} Test;noun;m;;;;;true
327;fr;matière;noun;f;;;;;true
328;de;Fach;noun;n;;;;;true
329;de;{sich auf etw.} konzentrieren;verb;;;;;;true
330;fr;{se} concentrer {sur qc.};verb;;;;;;true
331;fr;études de droit;noun;fpl;;;;;true
332;de;Jura{-Studium};noun;n;;;;;true
333;fr;collège;noun;m;;;;;true
334;de;Mittelschule;noun;f;;;;;true
335;de;Gymnasium;noun;n;;;;;true
336;fr;lycée;noun;m;;;;;true
337;fr;école primaire;noun;f;true;;;;true
338;de;Grundschule;noun;f;;;;;true
339;fr;tablette;noun;f;;;;;true
340;de;Tablet;noun;n;;;;Technologie;true
341;fr;lettre minuscule;noun;f;;;;;true
342;de;Kleinbuchstabe;noun;m;;;;;true
343;de;Großbuchstabe;noun;m;;;;;true
344;fr;lettre majuscule;noun;f;;;;;true
345;fr;élève;noun;m;true;;;;true
346;de;Schüler;noun;m;;;;;true
347;de;Enkelkinder;noun;npl;;;;;true
348;fr;attendre {qc.};verb;;;;;;true
349;de;{etw.} erwarten;verb;;;;;;true
350;fr;commode;adjective;;;;;;true
351;de;bequem;adjective;;;;;;true
352;fr;regretter {qc.};verb;;;;;;true
353;de;{etw.} nachtrauern;verb;;;;;;true
354;de;{etw.} bereuen;verb;;;;;;true
357;fr;trace;noun;f;;;;;true
358;de;Spur;noun;f;;;;;true
359;fr;fontaine;noun;f;;;;;true
360;de;Brunnen;noun;m;;;;;true
361;fr;concept;noun;m;;;;;true
362;de;Konzept;noun;n;;;;;true
363;fr;houleux;adjective;;;;;;true
364;de;hitzig;adjective;;;;;;true
365;fr;chaleureux;adjective;;;;;;true
366;de;herzlich;adjective;;;;;;true
367;fr;ambiance;noun;f;true;;;;true
368;de;Stimmung;noun;f;;;;;true
370;fr;brûler;verb;;;;;;true
371;de;abbrennen;verb;;;;;;true
372;fr;être en pente;verb;;;;;;true
373;de;Steigung haben;verb;;;;;;true
374;fr;garer {qc.};verb;;;;;;true
375;de;{etw.} parken;verb;;;;;;true
376;fr;voiture;noun;f;;;;;true
377;de;Auto;noun;n;;;;;true
378;fr;bagage;noun;m;;;;;true
379;fr;aéroport;noun;m;true;;;;true
380;de;Flughafen;noun;m;;;;;true
381;de;Gepäck;noun;n;;;;;true
382;fr;rouler;verb;;;;;;true
383;fr;vite;adjective;;;;;;true
384;de;schnell;adjective;;;;;;true
385;de;fahren;verb;;;;;;true
386;fr;frein;noun;m;;;;;true
387;de;Bremse;noun;f;;;;;true
388;fr;casque à vélo;noun;m;;;;;true
389;de;Fahrradhelm;noun;m;;;;;true
390;fr;casquette;noun;f;;;;;true
391;de;Kappe;noun;f;;;;;true
392;fr;sac;noun;m;;;;;true
393;fr;lourd;adjective;;;;;;true
395;de;Tasche;noun;f;;;;;true
396;fr;tissu;noun;m;;;;;true
397;fr;léger;adjective;;;;;;true
398;de;Stoff;noun;m;;;;;true
399;de;leicht;adjective;;;;;;true
400;fr;aménagement;noun;m;true;;;;true
401;fr;moderne;adjective;;;;;;true
402;de;Anlage;noun;f;;;;;true
403;de;modern;adjective;;;;;;true
404;de;Mündung;noun;f;;;;;true
405;de;wunderschön;adjective;;;;;;true
406;fr;magnifique;adjective;;;;;;true
407;fr;estuaire;noun;m;true;;;;true
408;fr;être en bon état;verb;;;;;;true
409;de;in gutem Zustand sein;verb;;;;;;true
410;fr;posseder {qc.};verb;;;;;;true
411;de;{etw.} besitzen;verb;;;;;;true
412;fr;pour cent;noun;m;;;;;true
413;de;Prozent;noun;n;;;;;true
414;fr;Solex;noun;m;;;;;true
415;de;Solex;noun;m;;;;;true
416;fr;gaz d'échappement;noun;mpl;;;;;true
417;de;Abgas;noun;n;;;;;true
418;de;atembar;adjective;;;;;;true
419;fr;respirable;adjective;;;;;;true
420;fr;récompenser {qn.};verb;;;;;;true
421;de;{jmdn.} entlohnen;verb;;;;;;true
422;fr;vélo;noun;m;;;;;true
423;de;Fahrrad;noun;n;;;;;true
424;de;Antwort;noun;f;;;;;true
425;fr;réponse;noun;f;;;;;true
